key,2
#,
offset,0
int32,str
0,
1,"魔导装甲的残骸。
这里难道经历了激烈的战斗？"
2,"久经使用的剑和盾。
看起来不像是加雷马帝国军的装备。
它们的主人究竟是谁？"
3,"好像是西德年轻时记录的卫月观测数据。
上面书写着整整齐齐的文字和复杂的公式。

根据西德推测，
卫月拥有收集太阳能后进行转换、输送的机能。

如果在未做好接收准备的情况下启动卫月，
积蓄了数千年的庞大能量将会从天而降，
造成重大的事故。"
4,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……"
7,"看样子是遭到了被控制的帝国兵袭击，已经咽气了。
从怀中搜到了军用恢复药。"
8,"看样子是曾经拼命抵抗过，但已经咽气了。
从怀中搜到了军用恢复药。"
9,"腿部受损的魔导死神。
机器还留有余温，不久之前应该还被人驾驶过。
如果有认证秘钥和燃料应该可以启动。
使用这台机器的魔导加农炮，
也许能扫清正面的敌人……"
10,"腿部受损的魔导死神。
使用了认证秘钥，但因为缺少燃料无法启动。
寻找魔导死神的残骸，搜索燃料。"
11,"魔导死神的残骸。
驾驶席的量表显示还残留着燃料。
看样子可以拆下青磷水箱。"
12,"腿部受损的魔导死神。
在刚才的战斗中彻底损毁，失去了战斗能力。"
13,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……"
14,"魔导死神的残骸。
驾驶席的量表显示还残留着燃料，
但受损十分严重，已经无法再次使用了……"
15,"已经咽气了。
如果是自己的身体，是否能拯救他呢……"
16,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……"
17,"疑似是新兵的帝国兵已经咽气了。
从怀中搜到了军用恢复药。"
19,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了帝国式强壮剂！"
20,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了军用恢复药！"
21,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了军用恢复药！"
22,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了军用恢复药！"
23,已经咽气了。
24,"看样子是从背后遭到了袭击，已经咽气了。
从怀中搜到了军用恢复药！"
25,已经咽气了。
26,"破烂的小麻袋。
从里面发现了军用恢复药！"
27,"破烂的小麻袋。
从里面发现了帝国式恢复剂！"
28,"腿部受损的魔导死神。
补充了燃料，但因为缺少认证秘钥无法启动。
搜索一下看看原本的驾驶员有没有躲在附近。"
29,"水面泛起了波纹，开始产生细小的气泡……
想象了一下叶小妖的幼崽在叶片的后面扎堆的情景。"
30,"在叶片的表面有被践踏的痕迹。
是谁在打水时留下的吗？"
31,"在水底发现了被植物寄生的动物尸骸。
是在寻找食物的时候迷路了吗？"
32,"发现了有轻微烧焦痕迹的水草。
很像是贤者的攻击术式留下的……"
33,
